"seed","NodeNames","Structure","ATC","Distance","Jaccard","GO","KEGG","PCA","RWR"
"DB00080","DB00705",0.43,0.2,0.384615384615385,0.2,0.25177304964539,0.5,0.823606633933443,0.0137586591067741
"DB00080","DB00485",0.55,0.4,0.4,0.2,0.282746160794941,0.3,0.833990930442638,0.0128285595113693
"DB00080","DB06228",0.38,0,0.375,0.333333333333333,0.503030303030303,0.2,0.811543636363636,0.0125133228349104
"DB00080","DB01137",0.51,0.133333333333333,0.357142857142857,0.2,0.189265536723164,0.4,0.719189927360775,0.0117080307064279
"DB00080","DB06414",0.35,0.2,0.363636363636364,0.25,0.298888888888889,0.222222222222222,0.705194424242424,0.0111387836771032
"DB00080","DB01331",0.54,0.4,0.333333333333333,0,0.0880555555555556,0.333333333333333,0.587974555555555,0.0100239897693428
"DB00080","DB00274",0.52,0.4,0.333333333333333,0,0.1002886002886,0.333333333333333,0.59064479076479,0.00986644258519707
"DB00080","DB01326",0.51,0.4,0.3,0,0.0799906169364297,0.333333333333333,0.568076875439831,0.00962469336255437
"DB00080","DB00833",0.51,0.4,0.333333333333333,0,0.025755389391753,0.4,0.57937622633259,0.00954740506736218
"DB00080","DB00567",0.49,0.4,0.333333333333333,0,0.0595238095238095,0.285714285714286,0.531612380952381,0.0090732969683597
"DB00080","DB00309",0.64,0,0.384615384615385,0.2,0.25962325962326,0.0952380952380952,0.583996545436546,0.00901121950937529
"DB00080","DB01112",0.53,0.2,0.333333333333333,0,0.0793103448275862,0.333333333333333,0.510137011494253,0.00884522812559637
"DB00080","DB01601",0.48,0.2,0.321428571428571,0.1,0.0942349678409158,0.272727272727273,0.534040263709855,0.0086410572131339
"DB00080","DB00602",0.45,0,0.333333333333333,0.333333333333333,0.182716049382716,0.142857142857143,0.589562821869488,0.00858123875859231
"DB00080","DB01167",0.48,0.2,0.319148936170213,0.0588235294117647,0.0627139744786804,0.333333333333333,0.521753806808775,0.00829759706567583
"DB00080","DB01140",0.51,0.4,0.272727272727273,0,0.0756802721088435,0.222222222222222,0.497242793238507,0.00821390389304333
"DB00080","DB00444",0.53,0,0.363636363636364,0.125,0.168464304057524,0.285714285714286,0.554769545087681,0.00808380329270776
"DB00080","DB00115",0.61,0,0.296296296296296,0.125,0.222943722943723,0.0833333333333333,0.479713088023088,0.00802832643663391
"DB00080","DB00200",0.64,0,0.285714285714286,0.125,0.284967320261438,0,0.476434687208217,0.00753997097118472
"DB00080","DB12401",0.29,0,0.333333333333333,0.25,0.19766081871345,0.166666666666667,0.520189590643275,0.00746078165696165
"DB00080","DB08873",0.4,0.2,0.333333333333333,0.125,0.182739138905124,0.0833333333333333,0.482103263198909,0.0071842404878087
"DB00080","DB00778",0.41,0.4,0.3125,0.1,0.113913326816553,0.0666666666666667,0.48217063864451,0.0068950274317283
"DB00091","DB00864",0.39,0.266666666666667,0.264458955223881,0.173913043478261,0.268180536355694,0.379310344827586,0.736075320004192,0.0153404087263
"DB00091","DB00877",0.4,0.666666666666667,0.287788563504364,0.116071428571429,0.283361958673641,0.126666666666667,0.715658745753319,0.0151304880716017
"DB00091","DB01041",0.34,0.3,0.271139240506329,0.0808080808080808,0.295745566728794,0.302631578947368,0.65229360227383,0.0133528390463051
"DB00091","DB11693",0.99,0.4,0.291161178509532,0.0555555555555556,0.088693437210893,0.180555555555556,0.638586338146737,0.0129110579780476
"DB00091","DB00563",0.27,0.233333333333333,0.27460263780859,0.0947368421052632,0.240812240812241,0.314606741573034,0.594273260112201,0.0127983579367439
