"DrugBankID","ENTREZID","Symbol"
"DB06151",7296,"TXNRD1"
"DB06151",1890,"TYMP"
"DB06151",7318,"UBA7"
"DB06151",51569,"UFM1"
"DB06151",7358,"UGDH"
"DB06151",8408,"ULK1"
"DB06151",10208,"USPL1"
"DB06151",7405,"UVRAG"
"DB06151",7412,"VCAM1"
"DB06151",7416,"VDAC1"
"DB06151",7417,"VDAC2"
"DB06151",7422,"VEGFA"
"DB06151",7431,"VIM"
"DB06151",7471,"WNT1"
"DB06151",9589,"WTAP"
"DB06151",7494,"XBP1"
"DB06151",7498,"XDH"
"DB06151",331,"XIAP"
"DB06151",7515,"XRCC1"
"DB06151",7517,"XRCC3"
"DB06151",7533,"YWHAH"
"DB06151",7528,"YY1"
"DB06151",90637,"ZFAND2A"
"DB06151",678,"ZFP36L2"
"DB06151",7750,"ZMYM2"
"DB06151",84124,"ZNF394"
"DB06151",2937,"GSS"
"DB06151",2902,"GRIN1"
"DB06151",2906,"GRIN2D"
"DB06151",2904,"GRIN2B"
"DB06151",95,"ACY1"
"DB06151",116443,"GRIN3A"
"DB06151",2903,"GRIN2A"
"DB06151",6531,"SLC6A3"
"DB06151",3579,"CXCR2"
"DB06151",3480,"IGF1R"
"DB06151",54472,"TOLLIP"
"DB06151",7450,"VWF"
"DB06151",6517,"SLC2A4"
"DB06151",4914,"NTRK1"
"DB06151",3164,"NR4A1"
"DB06151",3949,"LDLR"
"DB06151",653509,"SFTPA1"
"DB06151",48,"ACO1"
"DB06151",2052,"EPHX1"
"DB08916",1950,"EGF"
"DB08916",1956,"EGFR"
"DB08916",10919,"EHMT2"
"DB08916",3551,"IKBKB"
"DB08916",8826,"IQGAP1"
"DB08916",4586,"MUC5AC"
"DB08916",4790,"NFKB1"
"DB08916",5460,"POU5F1"
"DB08916",5970,"RELA"
"DB08916",11113,"CIT"
"DB08916",2580,"GAK"
"DB08916",8767,"RIPK2"
"DB08916",6793,"STK10"
"DB08916",25,"ABL1"
"DB08916",2064,"ERBB2"
"DB08916",3932,"LCK"
"DB08916",4233,"MET"
"DB08916",6714,"SRC"
"DB08916",5261,"PHKG2"
"DB08916",2065,"ERBB3"
"DB08916",558,"AXL"
"DB08916",2322,"FLT3"
"DB08916",7294,"TXK"
"DB08916",2444,"FRK"
"DB08916",5601,"MAPK9"
"DB08916",1454,"CSNK1E"
"DB08916",640,"BLK"
"DB08916",3654,"IRAK1"
"DB08916",5602,"MAPK10"
"DB08916",5607,"MAP2K5"
"DB08916",1859,"DYRK1A"
"DB08916",2066,"ERBB4"
"DB08916",1432,"MAPK14"
"DB08916",388228,"SBK1"
"DB08916",147746,"HIPK4"
"DB08916",8445,"DYRK2"
"DB08916",8569,"MKNK1"
"DB08916",9748,"SLK"
"DB08916",2872,"MKNK2"
"DB08916",9263,"STK17A"
"DB08916",285220,"EPHA6"
"DB08916",27330,"RPS6KA6"
"DB08916",9149,"DYRK1B"
"DB08916",3845,"KRAS"
"DB08916",673,"BRAF"
"DB08916",27436,"EML4"
"DB08916",3084,"NRG1"
"DB08916",4893,"NRAS"
"DB08916",29128,"UHRF1"
"DB08916",375,"ARF1"
"DB08916",23636,"NUP62"
"DB08916",1856,"DVL2"
"DB08916",2051,"EPHB6"
"DB08916",3055,"HCK"
