"seed","NodeNames","Structure","ATC","Distance","Jaccard","GO","KEGG","PCA","RWR","class"
"DB00248","DB01618",0.41,0.1,0.2782609,0.48,0.677402,0.6,1.255456,0.00237023878709619,"antagonistic"
"DB00248","DB01267",0.47,0.1,0.2698145,0.3333333,0.524725,0.8,1.192471,0.00228159423321017,"antagonistic"
"DB00248","DB00408",0.35,0.1,0.2639421,0.3953488,0.651316,0.6666667,1.204956,0.00227129814140859,"antagonistic"
"DB00252","DB00273",0.2,0.6,0.2460914,0.3557692,0.3651982,0.52,1.055819,0.00379009826716725,"antagonistic"
"DB00252","DB00996",0.08,0.6,0.2473556,0.1546392,0.2615485,0.7111111,0.9419016,0.00329929329790176,"antagonistic"
"DB00252","DB01068",0.27,0.6,0.2556522,0.2837838,0.2792423,0.3589744,0.8866001,0.00315767062849875,"antagonistic"
"DB00252","DB00794",0.3,0.4,0.2489284,0.3815789,0.3038372,0.2820513,0.8566768,0.00308502123069104,"antagonistic"
"DB00252","DB01174",0.33,0.4,0.2489996,0.2105263,0.3424152,0.375,0.8312042,0.0028225949255611,"antagonistic"
"DB00252","DB00842",0.26,0.2,0.2549511,0.2631579,0.2309971,0.475,0.7658424,0.0027502762222003,"antagonistic"
"DB00252","DB00401",0.27,0,0.2574401,0.1866667,0.24593,0.6458333,0.7548277,0.0026222368819921,"antagonistic"
"DB00252","DB00393",0.26,0,0.2546741,0.1829268,0.275891,0.6326531,0.7605286,0.00260274023252789,"antagonistic"
"DB00252","DB00313",0.04,0.6,0.2547867,0.2276423,0.3384803,0.38,0.8429746,0.00259258019795023,"synergistic"
"DB00252","DB01118",0.3,0,0.2510961,0.19,0.2784233,0.6122449,0.7641405,0.00259209044795997,"antagonistic"
"DB00252","DB00343",0.29,0,0.2485207,0.1038961,0.2062897,0.7073171,0.7150149,0.00241426879257704,"antagonistic"
"DB00252","DB04855",0.29,0,0.2524357,0.1460674,0.3030766,0.5106383,0.6927129,0.00241183320971643,"antagonistic"
"DB00252","DB00270",0.28,0,0.2513626,0.1351351,0.2107339,0.5918367,0.6713795,0.00239813713939019,"antagonistic"
"DB00252","DB01558",0.28,0.2,0.2507463,0.2638889,0.2486975,0.2307692,0.6449687,0.0023883077668538,"antagonistic"
"DB00252","DB01544",0.28,0.2,0.2526078,0.2535211,0.2082658,0.2564103,0.628163,0.00238108471589789,"antagonistic"
"DB00252","DB01110",0.2,0,0.2564283,0.1442308,0.2090005,0.6744186,0.7037589,0.00228148974424686,"antagonistic"
"DB00252","DB00349",0.22,0.2,0.2514343,0.2465753,0.2298159,0.1794872,0.5792602,0.00221130490331235,"antagonistic"
"DB00257","DB01100",0.26,0,0.2821599,0.15625,0.4445523,0.2162162,0.6217748,0.00755168553152438,"antagonistic"
"DB00261","DB00374",0.23,0,0.2571429,0.1,0.4294833,0.2222222,0.5671368,0.0451828838735503,"antagonistic"
"DB00264","DB01182",0.42,0.2,0.2745424,0.1111111,0.141229,0.4666667,0.6529,0.00404715226604831,"antagonistic"
"DB00273","DB00996",0.09,0.8,0.2459241,0.0952381,0.3278911,0.6666667,0.9925194,0.00383148033688517,"antagonistic"
"DB00273","DB00794",0.18,0.4,0.2496999,0.35,0.4838193,0.1707317,0.8565648,0.00343424804576006,"antagonistic"
"DB00273","DB04855",0.28,0,0.2543389,0.09375,0.294051,0.6829268,0.748035,0.00286900061856382,"synergistic"
"DB00273","DB00401",0.27,0,0.2536585,0.08235294,0.1689407,0.6382979,0.636111,0.00257633817884376,"antagonistic"
"DB00273","DB00909",0.18,0.4,0.2425519,0.3111111,0.2980453,0.1956522,0.7295155,0.00249042928158042,"antagonistic"
"DB00273","DB00292",0.21,0.2,0.2384637,0.2133333,0.2170782,0.1842105,0.5475595,0.00236429781260241,"antagonistic"
